,iox::measurement,time,altitude,avg_speed,car,class,distance,event,event_hours,latitude,longitude,messengerId,shortname,speed,team,teamnum
30,telemetry,2025-08-23 00:28:06,20.0,-0.45719119736932745,Aurora,Challenger,10.072684063375233,BWSC2025,-22.031666666666666,-12.44945,130.90575,0-3124418,Iron Lions,-6.27535330498651,38,38
31,telemetry,2025-08-23 00:28:06,14.0,-0.4635993250699997,Gaia,Cruiser,10.213865796833876,BWSC2025,-22.031666666666666,-12.44876,130.90718,0-3110643,Minnesota,0.0,35,35
32,telemetry,2025-08-23 00:28:58,17.0,-0.4909194301235926,NMS-1,Challenger,10.808682186237833,BWSC2025,-22.017222222222223,-12.44659,130.91057,0-3110817,Neumann,4.230581704461372,48,48
33,telemetry,2025-08-23 00:29:36,20.0,-0.4499599519377108,Lumen III,Challenger,9.902118675642557,BWSC2025,-22.006666666666668,-12.44989,130.90404,0-3109318,AUSRT,-23.839179057418477,09,9
34,telemetry,2025-08-23 00:30:22,20.0,-0.4897123101815832,SUNSWIFT 7,Cruiser,10.770678137654832,BWSC2025,-21.99388888888889,-12.44731,130.90967,0-3110649,Sunswift,-3.6996653669207404,11,11
35,telemetry,2025-08-23 00:30:36,23.0,-0.45953032111946585,Aurora,Challenger,10.105071761417053,BWSC2025,-21.99,-12.44934,130.90607,0-3124418,Iron Lions,0.7773047530036763,38,38
36,telemetry,2025-08-23 00:31:24,14.0,-0.47549421012839277,NMS-1,Challenger,10.449777757921645,BWSC2025,-21.976666666666667,-12.44827,130.90797,0-3110817,Neumann,-8.849698232453967,48,48
37,telemetry,2025-08-23 00:32:05,26.0,-0.460528165393296,Lumen III,Challenger,10.115629077354134,BWSC2025,-21.96527777777778,-12.44933,130.90617,0-3109318,AUSRT,5.1586405782662945,09,9
38,telemetry,2025-08-23 00:32:51,26.0,-0.45119983536005076,SUNSWIFT 7,Cruiser,9.904964385741515,BWSC2025,-21.9525,-12.44987,130.90407,0-3110649,Sunswift,-20.916573871731146,11,11
39,telemetry,2025-08-23 00:33:11,38.0,-0.4619320150828539,Aurora,Challenger,10.137996272133668,BWSC2025,-21.946944444444444,-12.44926,130.90639,0-3124418,Iron Lions,0.7646983134181589,38,38
40,telemetry,2025-08-23 00:33:19,14.0,-0.4703739012980062,Emilia 5,Cruiser,10.322224604567719,BWSC2025,-21.94472222222222,-12.44966,130.90714,0-4480060,Onda Solare,0.0,59,59
41,telemetry,2025-08-23 00:33:54,14.0,-0.49963600925632695,NMS-1,Challenger,10.959515863037531,BWSC2025,-21.935,-12.44632,130.91199,0-3110817,Neumann,12.23371452278127,48,48
42,telemetry,2025-08-23 00:35:20,29.0,-0.46150331103291137,SUNSWIFT 7,Cruiser,10.112050326187791,BWSC2025,-21.91111111111111,-12.44937,130.90613,0-3110649,Sunswift,5.00341869534628,11,11
43,telemetry,2025-08-23 00:35:33,23.0,-0.4703152955578669,Gaia,Cruiser,10.303432337433968,BWSC2025,-21.9075,-12.44882,130.90718,0-3110643,Minnesota,0.7213412665779244,35,35
44,telemetry,2025-08-23 00:35:41,-13.0,-0.4631700920492936,Aurora,Challenger,10.145869524698679,BWSC2025,-21.905277777777776,-12.44934,130.90645,0-3124418,Iron Lions,0.18895806156025685,38,38
45,telemetry,2025-08-23 00:36:23,17.0,-0.47738453356636557,NMS-1,Challenger,10.451671328361176,BWSC2025,-21.89361111111111,-12.44804,130.90807,0-3110817,Neumann,-12.270069294193815,48,48
46,telemetry,2025-08-23 00:37:21,35.0,-0.47196346327677274,Emilia 5,Cruiser,10.325380667837596,BWSC2025,-21.8775,-12.44966,130.90717,0-4480060,Onda Solare,0.0469497015353611,59,59
47,telemetry,2025-08-23 00:38:52,14.0,-0.4533922009751112,NMS-1,Challenger,9.90762712953057,BWSC2025,-21.852222222222224,-12.44984,130.9041,0-3110817,Neumann,-13.144692052283112,48,48
48,telemetry,2025-08-23 00:39:23,17.0,-0.4993944638990269,Nuna 13,Challenger,10.908578460452162,BWSC2025,-21.843611111111112,-12.44664,130.91115,0-3178452,Brunel,0.0,03,3
49,telemetry,2025-08-23 00:39:43,23.0,-0.49944713684485625,lux025,Challenger,10.906954321481129,BWSC2025,-21.838055555555556,-12.44705,130.91081,0-3109324,TUfast,0.0,32,32
50,telemetry,2025-08-23 00:39:51,56.0,-0.47291223244334873,Emilia 5,Cruiser,10.326432688927556,BWSC2025,-21.835833333333333,-12.44966,130.90718,0-4480060,Onda Solare,0.025248506159030626,59,59
51,telemetry,2025-08-23 00:40:16,23.0,-0.4721687810985134,SUNSWIFT 7,Cruiser,10.30691985940155,BWSC2025,-21.82888888888889,-12.44937,130.90707,0-3110649,Sunswift,2.370034863410573,11,11
52,telemetry,2025-08-23 00:40:38,-61.0,-0.4665446014667966,Aurora,Challenger,10.181299161231799,BWSC2025,-21.822777777777777,-12.44922,130.9068,0-3124418,Iron Lions,0.4294501397953957,38,38
53,telemetry,2025-08-23 00:41:53,17.0,-0.4647415874345336,Nuna 13,Challenger,10.132270270270622,BWSC2025,-21.801944444444445,-12.44876,130.90642,0-3178452,Brunel,-18.63139656435696,03,3
54,telemetry,2025-08-23 00:41:58,41.0,-0.4670037541093504,Lumen III,Challenger,10.1809412861139,BWSC2025,-21.800555555555555,-12.4489,130.90685,0-3109318,AUSRT,0.3964990751014433,09,9
55,telemetry,2025-08-23 00:42:12,23.0,-0.5004748309839652,lux025,Challenger,10.908683066013827,BWSC2025,-21.796666666666667,-12.44705,130.91083,0-3109324,TUfast,0.041768324279965116,32,32
56,telemetry,2025-08-23 00:42:14,44.0,-0.47354333581926855,Emilia 5,Cruiser,10.321403163442978,BWSC2025,-21.79611111111111,-12.44963,130.90714,0-4480060,Onda Solare,-0.12661742478655727,59,59
57,telemetry,2025-08-23 00:43:55,11.0,-0.4646759669858448,NMS-1,Challenger,10.115092264679369,BWSC2025,-21.768055555555556,-12.4493,130.90617,0-3110817,Neumann,2.4649322987976205,48,48
58,telemetry,2025-08-23 00:44:23,20.0,-0.46467759358472877,Nuna 13,Challenger,10.111513513513026,BWSC2025,-21.760277777777777,-12.44934,130.90613,0-3178452,Brunel,-0.4981621621822967,03,3
59,telemetry,2025-08-23 00:44:41,26.0,-0.501492516731639,lux025,Challenger,10.910109004973677,BWSC2025,-21.755277777777778,-12.44702,130.91087,0-3109324,TUfast,0.03445221647958909,32,32
60,telemetry,2025-08-23 00:46:24,41.0,-0.46666476975226245,NMS-1,Challenger,10.139069897484156,BWSC2025,-21.726666666666667,-12.44914,130.90642,0-3110817,Neumann,0.5793253563572627,48,48
61,telemetry,2025-08-23 00:47:11,20.0,-0.5025603185192135,lux025,Challenger,10.912399316202332,BWSC2025,-21.71361111111111,-12.44699,130.91092,0-3109324,TUfast,0.05496746948773534,32,32
62,telemetry,2025-08-23 00:47:13,20.0,-0.4753420965246825,Emilia 5,Cruiser,10.321129349734683,BWSC2025,-21.713055555555556,-12.44962,130.90714,0-4480060,Onda Solare,-0.003296753678472784,59,59
63,telemetry,2025-08-23 00:48:57,-46.0,-0.4682395712145655,NMS-1,Challenger,10.153384902145174,BWSC2025,-21.684166666666666,-12.44922,130.90654,0-3110817,Neumann,0.3368236390827786,48,48
64,telemetry,2025-08-23 00:49:25,17.0,-0.46901019334948274,Nuna 13,Challenger,10.166447343896357,BWSC2025,-21.676388888888887,-12.44905,130.90669,0-3178452,Brunel,0.6548403621853933,03,3
65,telemetry,2025-08-23 00:52:11,23.0,-0.5055367589469434,lux025,Challenger,10.934900522899872,BWSC2025,-21.630277777777778,-12.44685,130.91129,0-3109324,TUfast,0.27001448037047027,32,32
66,telemetry,2025-08-23 00:54:41,20.0,-0.5053179402427443,lux025,Challenger,10.909112499368291,BWSC2025,-21.58861111111111,-12.44675,130.91107,0-3109324,TUfast,-0.6189125647579345,32,32
67,telemetry,2025-08-23 00:57:07,20.0,-0.45399347909534443,Michigan 2025,Challenger,9.782676709406433,BWSC2025,-21.548055555555557,-12.44933,130.90302,0-3110836,Michigan,0.0,02,2
68,telemetry,2025-08-23 00:57:09,26.0,-0.4997454545626905,lux025,Challenger,10.768265182189573,BWSC2025,-21.5475,-12.44739,130.90959,0-3109324,TUfast,-3.426015823266111,32,32
69,telemetry,2025-08-23 00:57:55,11.0,-0.47399009849525064,Gaia,Cruiser,10.207245107178974,BWSC2025,-21.53472222222222,-12.44887,130.9071,0-3110643,Minnesota,-0.2580283374947684,35,35
70,telemetry,2025-08-23 00:59:32,20.0,-0.46045195030130287,Michigan 2025,Challenger,9.9032982244248,BWSC2025,-21.50777777777778,-12.45013,130.90401,0-3110836,Michigan,2.994741062524983,02,2
71,telemetry,2025-08-23 01:00:24,29.0,-0.475110974540953,Gaia,Cruiser,10.21171854613355,BWSC2025,-21.493333333333332,-12.44888,130.90714,0-3110643,Minnesota,0.10808308883540865,35,35
72,telemetry,2025-08-23 01:01:18,20.0,-0.5080654605200124,H6,Challenger,10.912399316202332,BWSC2025,-21.47833333333333,-12.44699,130.91092,0-3110655,Halmstad,0.0,23,23
73,telemetry,2025-08-23 01:02:02,17.0,-0.5088189619316089,Michigan 2025,Challenger,10.92236437226413,BWSC2025,-21.46611111111111,-12.44655,130.91138,0-3110836,Michigan,24.457587548143934,02,2
74,telemetry,2025-08-23 01:02:53,14.0,-0.476044325384906,Gaia,Cruiser,10.212076421250037,BWSC2025,-21.451944444444443,-12.4489,130.90714,0-3110643,Minnesota,0.008646647109752879,35,35
75,telemetry,2025-08-23 01:03:44,20.0,-0.5032036873287765,H6,Challenger,10.787568825912683,BWSC2025,-21.43777777777778,-12.44753,130.90971,0-3110655,Halmstad,-3.0780120893338356,23,23
76,telemetry,2025-08-23 01:05:22,44.0,-0.5028714484818777,Dokkaebi 2,Challenger,10.766757085023935,BWSC2025,-21.410555555555554,-12.44762,130.90942,0-3178440,SNU SOLO,0.0,57,57
